,Trial,Size,Comparisons,Swaps,Insert duration
96,0.0,9700.0,9699.0,0.0,0.23720693588256836
97,0.0,9800.0,9799.0,0.0,0.2011420726776123
98,0.0,9900.0,9899.0,0.0,0.2342061996459961
99,0.0,10000.0,9999.0,0.0,0.19672608375549316
100,1.0,100.0,99.0,0.0,0.0005371570587158203
101,1.0,200.0,199.0,0.0,0.0012099742889404297
102,1.0,300.0,299.0,0.0,0.0021779537200927734
103,1.0,400.0,399.0,0.0,0.0028388500213623047
104,1.0,500.0,499.0,0.0,0.003802776336669922
105,1.0,600.0,599.0,0.0,0.005159139633178711
106,1.0,700.0,699.0,0.0,0.005395174026489258
107,1.0,800.0,799.0,0.0,0.0058269500732421875
108,1.0,900.0,899.0,0.0,0.03620100021362305
109,1.0,1000.0,999.0,0.0,0.008549928665161133
110,1.0,1100.0,1099.0,0.0,0.037240028381347656
111,1.0,1200.0,1199.0,0.0,0.03942704200744629
112,1.0,1300.0,1299.0,0.0,0.010426044464111328
113,1.0,1400.0,1399.0,0.0,0.01166677474975586
114,1.0,1500.0,1499.0,0.0,0.01357412338256836
115,1.0,1600.0,1599.0,0.0,0.044592857360839844
116,1.0,1700.0,1699.0,0.0,0.015433073043823242
117,1.0,1800.0,1799.0,0.0,0.04415416717529297
118,1.0,1900.0,1899.0,0.0,0.04188895225524902
119,1.0,2000.0,1999.0,0.0,0.04372811317443848
120,1.0,2100.0,2099.0,0.0,0.04584622383117676
121,1.0,2200.0,2199.0,0.0,0.04465198516845703
122,1.0,2300.0,2299.0,0.0,0.04740500450134277
123,1.0,2400.0,2399.0,0.0,0.05550980567932129
124,1.0,2500.0,2499.0,0.0,0.08256292343139648
125,1.0,2600.0,2599.0,0.0,0.052953243255615234
126,1.0,2700.0,2699.0,0.0,0.051384925842285156
127,1.0,2800.0,2799.0,0.0,0.05158805847167969
128,1.0,2900.0,2899.0,0.0,0.05175280570983887
129,1.0,3000.0,2999.0,0.0,0.0967569351196289
130,1.0,3100.0,3099.0,0.0,0.09298086166381836
131,1.0,3200.0,3199.0,0.0,0.061105966567993164
132,1.0,3300.0,3299.0,0.0,0.19416117668151855
133,1.0,3400.0,3399.0,0.0,0.09341192245483398
134,1.0,3500.0,3499.0,0.0,0.09261417388916016
135,1.0,3600.0,3599.0,0.0,0.09318280220031738
136,1.0,3700.0,3699.0,0.0,0.1043248176574707
137,1.0,3800.0,3799.0,0.0,0.09608101844787598
138,1.0,3900.0,3899.0,0.0,0.0905449390411377
139,1.0,4000.0,3999.0,0.0,0.0892033576965332
140,1.0,4100.0,4099.0,0.0,0.06300687789916992
141,1.0,4200.0,4199.0,0.0,0.09191393852233887
142,1.0,4300.0,4299.0,0.0,0.09079408645629883
143,1.0,4400.0,4399.0,0.0,0.09288811683654785
144,1.0,4500.0,4499.0,0.0,0.10563778877258301
145,1.0,4600.0,4599.0,0.0,0.0966489315032959
146,1.0,4700.0,4699.0,0.0,0.06472611427307129
147,1.0,4800.0,4799.0,0.0,0.09388494491577148
148,1.0,4900.0,4899.0,0.0,0.10034370422363281
149,1.0,5000.0,4999.0,0.0,0.10268497467041016
150,1.0,5100.0,5099.0,0.0,0.09958100318908691
151,1.0,5200.0,5199.0,0.0,0.10081100463867188
152,1.0,5300.0,5299.0,0.0,0.09766101837158203
153,1.0,5400.0,5399.0,0.0,0.10220003128051758
154,1.0,5500.0,5499.0,0.0,0.10019707679748535
155,1.0,5600.0,5599.0,0.0,0.13921594619750977
156,1.0,5700.0,5699.0,0.0,0.10888290405273438
157,1.0,5800.0,5799.0,0.0,0.13570499420166016
158,1.0,5900.0,5899.0,0.0,0.10205411911010742
159,1.0,6000.0,5999.0,0.0,0.1329820156097412
160,1.0,6100.0,6099.0,0.0,0.10730290412902832
161,1.0,6200.0,6199.0,0.0,0.10643196105957031
162,1.0,6300.0,6299.0,0.0,0.14191889762878418
163,1.0,6400.0,6399.0,0.0,0.10618185997009277
164,1.0,6500.0,6499.0,0.0,0.10621404647827148
165,1.0,6600.0,6599.0,0.0,0.10844635963439941
166,1.0,6700.0,6699.0,0.0,0.11505389213562012
167,1.0,6800.0,6799.0,0.0,0.11131405830383301
168,1.0,6900.0,6899.0,0.0,0.11199069023132324
169,1.0,7000.0,6999.0,0.0,0.1952352523803711
170,1.0,7100.0,7099.0,0.0,0.13980579376220703
171,1.0,7200.0,7199.0,0.0,0.14354801177978516
172,1.0,7300.0,7299.0,0.0,0.14632487297058105
173,1.0,7400.0,7399.0,0.0,0.14883828163146973
174,1.0,7500.0,7499.0,0.0,0.14471793174743652
175,1.0,7600.0,7599.0,0.0,0.14670491218566895
176,1.0,7700.0,7699.0,0.0,0.1497800350189209
177,1.0,7800.0,7799.0,0.0,0.1434648036956787
178,1.0,7900.0,7899.0,0.0,0.14943575859069824
179,1.0,8000.0,7999.0,0.0,0.14785289764404297
180,1.0,8100.0,8099.0,0.0,0.14714598655700684
181,1.0,8200.0,8199.0,0.0,0.11763787269592285
182,1.0,8300.0,8299.0,0.0,0.15021109580993652
183,1.0,8400.0,8399.0,0.0,0.20235276222229004
184,1.0,8500.0,8499.0,0.0,0.11312198638916016
185,1.0,8600.0,8599.0,0.0,0.19536399841308594
186,1.0,8700.0,8699.0,0.0,0.19460797309875488
187,1.0,8800.0,8799.0,0.0,0.23736810684204102
188,1.0,8900.0,8899.0,0.0,0.249237060546875
