,Trial,Size,Comparisons,Swaps,QuickSort duration,Trial,Size,Comparisons,Swaps,Merge duration,Trial,Size,Comparisons,Swaps,Insert duration
32,0.0,3300.0,22370.0,24551.0,0.22698116302490234,0.0,3300.0,18728.0,22027.0,0.23714590072631836,0.0,3300.0,3299.0,0.0,0.026449918746948242
33,0.0,3400.0,25531.0,27788.0,0.27564406394958496,0.0,3400.0,19372.0,22771.0,0.26000380516052246,0.0,3400.0,3399.0,0.0,0.02656388282775879
34,0.0,3500.0,23517.0,25852.0,0.2709519863128662,0.0,3500.0,20064.0,23563.0,0.26065826416015625,0.0,3500.0,3499.0,0.0,0.029762983322143555
35,0.0,3600.0,26103.0,28501.0,0.2544219493865967,0.0,3600.0,20816.0,24415.0,0.24175500869750977,0.0,3600.0,3599.0,0.0,0.03384995460510254
36,0.0,3700.0,24365.0,26841.0,0.25787997245788574,0.0,3700.0,21468.0,25167.0,0.25590991973876953,0.0,3700.0,3699.0,0.0,0.031222820281982422
37,0.0,3800.0,24670.0,27209.0,0.2708120346069336,0.0,3800.0,22188.0,25987.0,0.24957585334777832,0.0,3800.0,3799.0,0.0,0.039031982421875
38,0.0,3900.0,26601.0,29199.0,0.2920997142791748,0.0,3900.0,22940.0,26839.0,0.27329325675964355,0.0,3900.0,3899.0,0.0,0.0377500057220459
39,0.0,4000.0,25862.0,28530.0,0.27858829498291016,0.0,4000.0,23728.0,27727.0,0.2853081226348877,0.0,4000.0,3999.0,0.0,0.04509902000427246
40,0.0,4100.0,30279.0,33002.0,0.3217611312866211,0.0,4100.0,24584.0,28683.0,0.326732873916626,0.0,4100.0,4099.0,0.0,0.07169198989868164
41,0.0,4200.0,29785.0,32590.0,0.3571512699127197,0.0,4200.0,25012.0,29211.0,0.5573379993438721,0.0,4200.0,4199.0,0.0,0.05429816246032715
42,0.0,4300.0,26995.0,29871.0,0.38626885414123535,0.0,4300.0,25528.0,29827.0,0.5607051849365234,0.0,4300.0,4299.0,0.0,0.04801511764526367
43,0.0,4400.0,29343.0,32274.0,0.5214681625366211,0.0,4400.0,26080.0,30479.0,0.3917360305786133,0.0,4400.0,4399.0,0.0,0.05082893371582031
44,0.0,4500.0,28923.0,31905.0,0.3657820224761963,0.0,4500.0,26660.0,31159.0,0.3648838996887207,0.0,4500.0,4499.0,0.0,0.04069185256958008
45,0.0,4600.0,29229.0,32277.0,0.3380148410797119,0.0,4600.0,27324.0,31923.0,0.3342461585998535,0.0,4600.0,4599.0,0.0,0.039658546447753906
46,0.0,4700.0,31072.0,34191.0,0.34937000274658203,0.0,4700.0,27860.0,32559.0,0.33539891242980957,0.0,4700.0,4699.0,0.0,0.04462790489196777
