,Trial,Size,Comparisons,Swaps,QuickSort duration
109,1.0,1000.0,5224.0,5891.0,0.1058812141418457
110,1.0,1100.0,5872.0,6591.0,0.18013906478881836
111,1.0,1200.0,6732.0,7531.0,0.15319609642028809
112,1.0,1300.0,7473.0,8348.0,0.16092705726623535
113,1.0,1400.0,8360.0,9297.0,0.29035329818725586
114,1.0,1500.0,9277.0,10279.0,0.20321989059448242
115,1.0,1600.0,7905.0,8969.0,0.1991288661956787
116,1.0,1700.0,9472.0,10589.0,0.2087690830230713
117,1.0,1800.0,9960.0,11163.0,0.24061298370361328
118,1.0,1900.0,11503.0,12776.0,0.25609397888183594
119,1.0,2000.0,14050.0,15392.0,0.3386082649230957
120,1.0,2100.0,13750.0,15131.0,0.34215497970581055
121,1.0,2200.0,12201.0,13659.0,0.29871106147766113
122,1.0,2300.0,15778.0,17303.0,0.39655017852783203
123,1.0,2400.0,16751.0,18351.0,0.35895872116088867
124,1.0,2500.0,13486.0,15158.0,0.333514928817749
125,1.0,2600.0,15411.0,17142.0,0.3139219284057617
126,1.0,2700.0,14855.0,16662.0,0.5007128715515137
127,1.0,2800.0,18008.0,19855.0,0.43654799461364746
128,1.0,2900.0,18808.0,20756.0,0.443706750869751
129,1.0,3000.0,18403.0,20402.0,0.4882950782775879
130,1.0,3100.0,21682.0,23752.0,0.6961801052093506
131,1.0,3200.0,18746.0,20864.0,0.6834259033203125
132,1.0,3300.0,22067.0,24269.0,0.6938681602478027
133,1.0,3400.0,25590.0,27869.0,1.6543638706207275
134,1.0,3500.0,22486.0,24834.0,0.6497790813446045
135,1.0,3600.0,22528.0,24892.0,0.7443921566009521
136,1.0,3700.0,23221.0,25667.0,0.7022299766540527
137,1.0,3800.0,25007.0,27539.0,0.7453961372375488
138,1.0,3900.0,23378.0,25970.0,0.5845160484313965
139,1.0,4000.0,25644.0,28318.0,0.6057968139648438
140,1.0,4100.0,28407.0,31114.0,0.6534152030944824
141,1.0,4200.0,29397.0,32215.0,0.8508868217468262
142,1.0,4300.0,33165.0,36032.0,0.7533280849456787
143,1.0,4400.0,33455.0,36397.0,1.1496739387512207
144,1.0,4500.0,30313.0,33335.0,0.7908120155334473
145,1.0,4600.0,37207.0,40280.0,0.9302060604095459
146,1.0,4700.0,34069.0,37181.0,0.7846441268920898
147,1.0,4800.0,33009.0,36234.0,0.7495479583740234
148,1.0,4900.0,34161.0,37407.0,0.7585878372192383
149,1.0,5000.0,32276.0,35624.0,0.7349298000335693
150,1.0,5100.0,35057.0,38486.0,0.976935863494873
151,1.0,5200.0,40080.0,43525.0,0.898597240447998
152,1.0,5300.0,40979.0,44502.0,0.907559871673584
153,1.0,5400.0,45907.0,49489.0,1.200087070465088
154,1.0,5500.0,37071.0,40710.0,0.8862650394439697
155,1.0,5600.0,33688.0,37422.0,0.7877929210662842
156,1.0,5700.0,38742.0,42528.0,0.9892950057983398
157,1.0,5800.0,41753.0,45595.0,0.9838080406188965
158,1.0,5900.0,49800.0,53734.0,1.2419829368591309
159,1.0,6000.0,43018.0,47026.0,1.0428168773651123
160,1.0,6100.0,48380.0,52456.0,1.0491597652435303
161,1.0,6200.0,40284.0,44391.0,0.899817943572998
162,1.0,6300.0,42270.0,46467.0,0.9503490924835205
163,1.0,6400.0,48952.0,53240.0,0.9998149871826172
164,1.0,6500.0,54120.0,58454.0,1.1474592685699463
165,1.0,6600.0,50001.0,54383.0,1.0987868309020996
