,Trial,Size,Comparisons,Swaps,Merge duration
93,0.0,9400.0,60420.0,69819.0,1.5944101810455322
94,0.0,9500.0,61076.0,70575.0,1.806229829788208
95,0.0,9600.0,61760.0,71359.0,1.6550300121307373
96,0.0,9700.0,62476.0,72175.0,1.7648711204528809
97,0.0,9800.0,63148.0,72947.0,1.7425868511199951
98,0.0,9900.0,63840.0,73739.0,1.7545719146728516
99,0.0,10000.0,64608.0,74607.0,1.7013001441955566
100,1.0,100.0,316.0,415.0,0.0036940574645996094
101,1.0,200.0,732.0,931.0,0.03778195381164551
102,1.0,300.0,1180.0,1479.0,0.04366803169250488
103,1.0,400.0,1664.0,2063.0,0.047840118408203125
104,1.0,500.0,2216.0,2715.0,0.05397486686706543
105,1.0,600.0,2660.0,3259.0,0.05607295036315918
106,1.0,700.0,3172.0,3871.0,0.09436964988708496
107,1.0,800.0,3728.0,4527.0,0.09521222114562988
108,1.0,900.0,4304.0,5203.0,0.10444211959838867
109,1.0,1000.0,4932.0,5931.0,0.14560794830322266
110,1.0,1100.0,5420.0,6519.0,0.11898970603942871
111,1.0,1200.0,5920.0,7119.0,0.1502079963684082
112,1.0,1300.0,6480.0,7779.0,0.1939840316772461
113,1.0,1400.0,7044.0,8443.0,0.1921689510345459
114,1.0,1500.0,7664.0,9163.0,0.2321479320526123
115,1.0,1600.0,8256.0,9855.0,0.23943495750427246
116,1.0,1700.0,8836.0,10535.0,0.2396409511566162
117,1.0,1800.0,9508.0,11307.0,0.2555110454559326
118,1.0,1900.0,10144.0,12043.0,0.2514371871948242
119,1.0,2000.0,10864.0,12863.0,0.2584519386291504
120,1.0,2100.0,11456.0,13555.0,0.26737093925476074
121,1.0,2200.0,11940.0,14139.0,0.2985680103302002
122,1.0,2300.0,12512.0,14811.0,0.34973716735839844
123,1.0,2400.0,13040.0,15439.0,0.3469419479370117
124,1.0,2500.0,13652.0,16151.0,0.31338024139404297
125,1.0,2600.0,14260.0,16859.0,0.3832271099090576
126,1.0,2700.0,14840.0,17539.0,0.35063886642456055
127,1.0,2800.0,15488.0,18287.0,0.4113311767578125
128,1.0,2900.0,16120.0,19019.0,0.40367794036865234
129,1.0,3000.0,16828.0,19827.0,0.45738697052001953
130,1.0,3100.0,17528.0,20627.0,0.6492550373077393
131,1.0,3200.0,18112.0,21311.0,0.7028141021728516
132,1.0,3300.0,18728.0,22027.0,0.8929321765899658
133,1.0,3400.0,19372.0,22771.0,0.6448540687561035
134,1.0,3500.0,20064.0,23563.0,0.6519820690155029
135,1.0,3600.0,20816.0,24415.0,0.6656391620635986
136,1.0,3700.0,21468.0,25167.0,0.8817470073699951
137,1.0,3800.0,22188.0,25987.0,0.7079901695251465
138,1.0,3900.0,22940.0,26839.0,0.6653051376342773
139,1.0,4000.0,23728.0,27727.0,0.6455659866333008
140,1.0,4100.0,24584.0,28683.0,0.6425328254699707
141,1.0,4200.0,25012.0,29211.0,0.7391669750213623
142,1.0,4300.0,25528.0,29827.0,0.6614792346954346
143,1.0,4400.0,26080.0,30479.0,0.8518280982971191
144,1.0,4500.0,26660.0,31159.0,0.9048609733581543
145,1.0,4600.0,27324.0,31923.0,0.6603310108184814
146,1.0,4700.0,27860.0,32559.0,0.7000629901885986
147,1.0,4800.0,28480.0,33279.0,0.7369709014892578
148,1.0,4900.0,29124.0,34023.0,0.7452840805053711
149,1.0,5000.0,29804.0,34803.0,0.7152299880981445
150,1.0,5100.0,30540.0,35639.0,0.8627541065216064
151,1.0,5200.0,31120.0,36319.0,0.8348948955535889
152,1.0,5300.0,31720.0,37019.0,0.8353509902954102
153,1.0,5400.0,32380.0,37779.0,0.854895830154419
154,1.0,5500.0,33052.0,38551.0,0.8484218120574951
155,1.0,5600.0,33776.0,39375.0,0.8153882026672363
156,1.0,5700.0,34452.0,40151.0,0.8560478687286377
157,1.0,5800.0,35140.0,40939.0,0.8598458766937256
158,1.0,5900.0,35908.0,41807.0,0.9038479328155518
159,1.0,6000.0,36656.0,42655.0,0.8565287590026855
160,1.0,6100.0,37472.0,43571.0,0.8962907791137695
161,1.0,6200.0,38156.0,44355.0,0.9348878860473633
162,1.0,6300.0,38740.0,45039.0,0.9478268623352051
163,1.0,6400.0,39424.0,45823.0,0.9366238117218018
164,1.0,6500.0,40040.0,46539.0,0.9904477596282959
165,1.0,6600.0,40756.0,47355.0,1.1423218250274658
166,1.0,6700.0,41460.0,48159.0,1.0321719646453857
167,1.0,6800.0,42144.0,48943.0,1.0377600193023682
168,1.0,6900.0,42896.0,49795.0,1.0914602279663086
169,1.0,7000.0,43628.0,50627.0,1.0113439559936523
170,1.0,7100.0,44440.0,51539.0,1.0173358917236328
171,1.0,7200.0,45232.0,52431.0,1.1453049182891846
172,1.0,7300.0,45908.0,53207.0,1.1123270988464355
173,1.0,7400.0,46636.0,54035.0,1.1547648906707764
174,1.0,7500.0,47376.0,54875.0,1.1621081829071045
175,1.0,7600.0,48176.0,55775.0,1.1534788608551025
176,1.0,7700.0,49016.0,56715.0,1.1131901741027832
177,1.0,7800.0,49780.0,57579.0,1.2203478813171387
178,1.0,7900.0,50600.0,58499.0,1.1605181694030762
179,1.0,8000.0,51456.0,59455.0,1.1553890705108643
180,1.0,8100.0,52336.0,60435.0,1.2063918113708496
181,1.0,8200.0,53268.0,61467.0,1.1969070434570312
182,1.0,8300.0,53704.0,62003.0,1.3555350303649902
183,1.0,8400.0,54224.0,62623.0,1.5500359535217285
184,1.0,8500.0,54772.0,63271.0,1.5460140705108643
185,1.0,8600.0,55356.0,63955.0,1.9549312591552734
186,1.0,8700.0,56028.0,64727.0,2.456418037414551
187,1.0,8800.0,56560.0,65359.0,2.1128180027008057
188,1.0,8900.0,57172.0,66071.0,1.897812843322754
189,1.0,9000.0,57820.0,66819.0,1.6378769874572754
190,1.0,9100.0,58500.0,67599.0,1.5639560222625732
191,1.0,9200.0,59248.0,68447.0,1.5471570491790771
192,1.0,9300.0,59812.0,69111.0,1.885171890258789
193,1.0,9400.0,60420.0,69819.0,3.147839069366455
194,1.0,9500.0,61076.0,70575.0,0.7384400367736816
